"Để đo tốc độ của một vật chuyển động, ta cần đo những đại lượng nào?",Quãng đường chuyển động và thời gian để đi hết quãng đường đó.
Tên thiết bị đo thời gian hiện số thường dùng trong phòng thí nghiệm vật lý phổ thông là gì?,Đồng hồ đo thời gian hiện số MC964.
Độ chia nhỏ nhất (ĐCNN) của đồng hồ đo thời gian hiện số MC964 có thể chọn là bao nhiêu?,"$0,001 s$ hoặc $0,01 s$."
"Trong sử dụng đồng hồ MC964, chế độ (MODE) nào dùng để đo thời gian vật chắn cổng quang điện nối với ổ A?",MODE A.
Chế độ MODE B trên đồng hồ MC964 có chức năng gì?,Đo thời gian vật chắn cổng quang điện nối với ổ B.
"Để đo tổng hai khoảng thời gian vật chắn cổng quang điện tại A và tại B, ta chọn MODE nào?",MODE A + B.
Chế độ MODE $A \leftrightarrow B$ trên đồng hồ đo thời gian hiện số dùng để làm gì?,Đo thời gian vật chuyển động từ cổng quang điện nối với ổ A tới cổng quang điện nối với ổ B.
"Khi cần đo khoảng thời gian $T$ của từng chu kì dao động, ta chọn chế độ nào trên đồng hồ MC964?",MODE T.
Nút RESET trên đồng hồ đo thời gian hiện số có tác dụng gì?,"Đặt lại chỉ số của đồng hồ về giá trị $0,000$."
Cổng quang điện trong thí nghiệm đo tốc độ đóng vai trò như một thiết bị gì?,Công tắc điều khiển mở hoặc đóng đồng hồ đo thời gian.
Ưu điểm của việc sử dụng đồng hồ đo thời gian hiện số và cổng quang điện là gì?,"Độ chính xác cao, lên đến phần nghìn giây và loại bỏ sai số do phản xạ của con người."
Đồng hồ cần rung sử dụng một cần rung đều đặn với tần số bao nhiêu lần trong một giây?,$50$ lần.
Khoảng cách giữa hai dấu chấm liên tiếp trên băng giấy của đồng hồ cần rung tương ứng với khoảng thời gian bao nhiêu?,"$0,02 s$."
Làm thế nào để xác định quãng đường vật đi được khi dùng đồng hồ cần rung?,Đo khoảng cách giữa các dấu chấm được đánh dấu trên băng giấy gắn vào xe.
Thiết bị nào được dùng để giữ và thả viên bi thép trong thí nghiệm đo tốc độ?,Nam châm điện và công tắc.
Dụng cụ dùng để đo đường kính của viên bi thép một cách chính xác là gì?,Thước cặp.
"Trong thí nghiệm đo tốc độ trung bình, quãng đường $s$ được xác định như thế nào?",Đo khoảng cách giữa hai cổng quang điện $E$ và $F$.
"Để đo tốc độ trung bình của viên bi từ cổng $E$ đến cổng $F$, đồng hồ MC964 cần đặt ở chế độ nào?",MODE $A \leftrightarrow B$.
"Để đo tốc độ tức thời của viên bi khi đi qua một cổng quang điện, ta cần đo những đại lượng nào?",Đường kính viên bi và thời gian viên bi chắn cổng quang điện đó.
Công thức tính tốc độ tức thời của viên bi trong thí nghiệm là gì?,"$v_t = \frac{d}{t}$ (với $d$ là đường kính viên bi, $t$ là thời gian chắn cổng quang)."
Tại sao tốc độ đo được bằng công thức $v = \frac{d}{t}$ tại một cổng quang lại được coi là tốc độ tức thời?,Vì đường kính $d$ rất nhỏ nên tốc độ trung bình trong khoảng thời gian đó xấp xỉ tốc độ tức thời.
"Để đo tốc độ tức thời tại cổng $E$, ta nối cổng $E$ with ổ cắm nào và chọn MODE gì?",Nối với ổ A và chọn MODE A.
Sai số $\Delta s$ trong thí nghiệm đo tốc độ thường được lấy bằng giá trị nào?,Độ chia nhỏ nhất của thước đo.
Công thức tính tốc độ trung bình từ quãng đường $s$ và thời gian $t$ là gì?,$\bar{v} = \frac{\bar{s}}{\bar{t}}$.
"Khi cắm giắc cắm của cổng quang điện vào đồng hồ, cần lưu ý điều gì để đảm bảo tiếp xúc tốt?","Cắm thẳng giắc cắm, không rung, lắc chân cắm."
